starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 06 18:22:40 2023	1701915760	392	247	640	67
Wed Dec 06 18:22:40 2023	1701915760	393	247	640	53
Wed Dec 06 18:22:40 2023	1701915760	392	247	640	67
Wed Dec 06 18:25:15 2023	1701915915	145	495	640	377
Wed Dec 06 18:22:40 2023	1701915760	393	247	640	67
Wed Dec 06 18:22:50 2023	1701915770	30	610	640	180
Wed Dec 06 18:24:18 2023	1701915858	188	452	640	451
Wed Dec 06 18:24:18 2023	1701915858	188	452	640	271
Wed Dec 06 18:24:18 2023	1701915858	188	452	640	271
Wed Dec 06 18:23:32 2023	1701915812	256	384	640	383
Wed Dec 06 18:23:32 2023	1701915812	257	384	640	383
Wed Dec 06 18:23:47 2023	1701915827	91	549	641	528
Wed Dec 06 18:26:14 2023	1701915974	127	513	641	291
Wed Dec 06 18:26:14 2023	1701915974	127	513	641	290
Wed Dec 06 18:23:19 2023	1701915799	283	358	641	325
Wed Dec 06 18:20:43 2023	1701915643	20	621	641	277
Wed Dec 06 18:20:43 2023	1701915643	21	620	641	275
Wed Dec 06 18:20:43 2023	1701915643	21	620	641	275
Wed Dec 06 18:20:43 2023	1701915643	21	620	641	275
Wed Dec 06 18:23:47 2023	1701915827	92	549	641	526
Wed Dec 06 18:20:43 2023	1701915643	20	621	641	277
Wed Dec 06 18:26:14 2023	1701915974	127	514	641	290
Wed Dec 06 18:20:43 2023	1701915643	21	620	641	463
Wed Dec 06 18:22:03 2023	1701915723	67	575	641	255
Wed Dec 06 18:20:43 2023	1701915643	20	622	642	277
Wed Dec 06 18:22:03 2023	1701915723	67	575	642	255
Wed Dec 06 18:24:18 2023	1701915858	190	452	642	271
Wed Dec 06 18:24:16 2023	1701915856	71	572	643	256
Wed Dec 06 18:24:16 2023	1701915856	71	572	643	537
Wed Dec 06 18:25:49 2023	1701915949	210	432	643	99
Wed Dec 06 18:25:49 2023	1701915949	211	432	643	99
Wed Dec 06 18:25:49 2023	1701915949	211	433	643	99
Wed Dec 06 18:23:19 2023	1701915799	283	360	643	327
Wed Dec 06 18:24:50 2023	1701915890	211	433	643	206
Wed Dec 06 18:24:50 2023	1701915890	211	433	643	206
Wed Dec 06 18:26:33 2023	1701915993	102	542	643	439
Wed Dec 06 18:24:25 2023	1701915865	81	562	643	545
Wed Dec 06 18:23:44 2023	1701915824	71	573	643	176
Wed Dec 06 18:23:19 2023	1701915799	283	360	643	327
Wed Dec 06 18:26:33 2023	1701915993	102	542	643	440
Wed Dec 06 18:26:33 2023	1701915993	102	542	643	439
Wed Dec 06 18:26:33 2023	1701915993	102	541	643	448
Wed Dec 06 18:24:50 2023	1701915890	211	433	644	268
Wed Dec 06 18:26:33 2023	1701915993	102	542	644	439
Wed Dec 06 18:22:03 2023	1701915723	69	576	644	255
Wed Dec 06 18:22:00 2023	1701915720	376	268	644	143
Wed Dec 06 18:22:00 2023	1701915720	376	268	645	143
Wed Dec 06 18:25:09 2023	1701915909	64	581	645	57
Wed Dec 06 18:26:14 2023	1701915974	127	517	645	293
Wed Dec 06 18:23:17 2023	1701915797	21	624	645	36
Wed Dec 06 18:24:20 2023	1701915860	57	588	645	134
Wed Dec 06 18:23:17 2023	1701915797	21	624	645	87
Wed Dec 06 18:26:14 2023	1701915974	128	517	645	293
Wed Dec 06 18:26:14 2023	1701915974	128	517	645	293
Wed Dec 06 18:25:09 2023	1701915909	65	581	645	57
Wed Dec 06 18:24:25 2023	1701915865	81	564	646	545
Wed Dec 06 18:27:37 2023	1701916057	252	394	646	223
Wed Dec 06 18:22:18 2023	1701915738	17	629	646	367
Wed Dec 06 18:27:37 2023	1701916057	252	394	646	297
Wed Dec 06 18:24:25 2023	1701915865	81	565	646	545
Wed Dec 06 18:22:18 2023	1701915738	17	629	646	367
Wed Dec 06 18:24:20 2023	1701915860	58	589	646	134
Wed Dec 06 18:25:49 2023	1701915949	213	433	646	99
Wed Dec 06 18:26:24 2023	1701915984	253	393	646	317
Wed Dec 06 18:26:24 2023	1701915984	253	393	646	320
Wed Dec 06 18:26:24 2023	1701915984	253	393	646	352
Wed Dec 06 18:24:20 2023	1701915860	58	589	646	134
Wed Dec 06 18:26:24 2023	1701915984	253	393	646	352
Wed Dec 06 18:26:24 2023	1701915984	253	393	647	352
Wed Dec 06 18:23:26 2023	1701915806	258	388	647	146
Wed Dec 06 18:23:26 2023	1701915806	258	388	647	145
Wed Dec 06 18:23:26 2023	1701915806	258	389	647	145
Wed Dec 06 18:26:24 2023	1701915984	254	393	647	319
Wed Dec 06 18:23:26 2023	1701915806	259	388	647	145
Wed Dec 06 18:24:32 2023	1701915872	515	132	648	131
Wed Dec 06 18:23:26 2023	1701915806	259	389	648	147
Wed Dec 06 18:22:03 2023	1701915723	66	582	648	255
Wed Dec 06 18:22:03 2023	1701915723	66	582	648	255
Wed Dec 06 18:26:24 2023	1701915984	254	394	648	352
Wed Dec 06 18:22:00 2023	1701915720	378	270	648	145
Wed Dec 06 18:24:32 2023	1701915872	517	132	649	129
Wed Dec 06 18:22:11 2023	1701915731	499	150	649	65
Wed Dec 06 18:26:18 2023	1701915978	26	623	649	185
Wed Dec 06 18:25:49 2023	1701915949	213	436	649	100
Wed Dec 06 18:24:00 2023	1701915840	394	256	650	254
Wed Dec 06 18:21:03 2023	1701915663	328	322	650	159
Wed Dec 06 18:24:00 2023	1701915840	97	554	650	64
Wed Dec 06 18:25:49 2023	1701915949	213	437	650	100
Wed Dec 06 18:23:53 2023	1701915833	317	333	650	164
Wed Dec 06 18:23:53 2023	1701915833	317	333	650	164
Wed Dec 06 18:24:00 2023	1701915840	97	554	650	67
Wed Dec 06 18:22:11 2023	1701915731	499	152	650	65
Wed Dec 06 18:23:01 2023	1701915781	115	535	651	438
Wed Dec 06 18:22:11 2023	1701915731	499	152	651	65
Wed Dec 06 18:23:53 2023	1701915833	317	334	651	164
Wed Dec 06 18:23:01 2023	1701915781	115	536	651	440
Wed Dec 06 18:23:39 2023	1701915819	311	340	651	336
Wed Dec 06 18:23:39 2023	1701915819	311	340	651	338
Wed Dec 06 18:23:10 2023	1701915790	558	93	651	91
Wed Dec 06 18:25:32 2023	1701915932	9	642	651	637
Wed Dec 06 18:20:43 2023	1701915643	355	296	652	24
Wed Dec 06 18:21:03 2023	1701915663	328	323	652	159
Wed Dec 06 18:21:03 2023	1701915663	328	323	652	160
Wed Dec 06 18:21:03 2023	1701915663	328	323	652	159
Wed Dec 06 18:25:00 2023	1701915900	336	316	652	99
Wed Dec 06 18:25:00 2023	1701915900	337	315	652	99
Wed Dec 06 18:26:04 2023	1701915964	104	549	653	430
Wed Dec 06 18:21:03 2023	1701915663	328	325	653	320
Wed Dec 06 18:21:03 2023	1701915663	328	325	653	322
Wed Dec 06 18:23:49 2023	1701915829	311	343	654	159
Wed Dec 06 18:22:05 2023	1701915725	289	365	654	197
Wed Dec 06 18:23:48 2023	1701915828	247	407	654	141
Wed Dec 06 18:23:48 2023	1701915828	247	407	654	286
Wed Dec 06 18:23:48 2023	1701915828	247	407	654	286
Wed Dec 06 18:23:48 2023	1701915828	248	407	654	141
Wed Dec 06 18:23:48 2023	1701915828	248	407	654	286
Wed Dec 06 18:23:48 2023	1701915828	248	407	654	286
Wed Dec 06 18:25:00 2023	1701915900	338	316	654	99
Wed Dec 06 18:25:00 2023	1701915900	338	316	655	99
Wed Dec 06 18:25:00 2023	1701915900	338	316	655	97
Wed Dec 06 18:23:49 2023	1701915829	311	344	655	245
Wed Dec 06 18:23:49 2023	1701915829	311	344	655	246
Wed Dec 06 18:23:49 2023	1701915829	311	344	655	159
Wed Dec 06 18:21:16 2023	1701915676	283	372	655	64
Wed Dec 06 18:27:09 2023	1701916029	100	555	655	308
Wed Dec 06 18:27:09 2023	1701916029	100	555	655	307
Wed Dec 06 18:23:44 2023	1701915824	38	617	655	149
Wed Dec 06 18:23:44 2023	1701915824	38	617	655	434
Wed Dec 06 18:22:59 2023	1701915779	13	642	655	411
Wed Dec 06 18:22:19 2023	1701915739	186	469	655	438
Wed Dec 06 18:27:09 2023	1701916029	100	555	655	307
Wed Dec 06 18:23:44 2023	1701915824	39	617	656	149
Wed Dec 06 18:23:17 2023	1701915797	11	645	656	108
Wed Dec 06 18:25:00 2023	1701915900	340	316	656	99
Wed Dec 06 18:23:44 2023	1701915824	39	617	656	434
Wed Dec 06 18:22:50 2023	1701915770	189	467	656	245
Wed Dec 06 18:22:19 2023	1701915739	186	470	656	438
Wed Dec 06 18:22:19 2023	1701915739	187	470	657	438
Wed Dec 06 18:22:19 2023	1701915739	186	471	657	438
Wed Dec 06 18:20:15 2023	1701915615	239	418	657	417
Wed Dec 06 18:21:36 2023	1701915696	301	356	657	233
Wed Dec 06 18:22:19 2023	1701915739	186	471	657	469
Wed Dec 06 18:24:45 2023	1701915885	162	495	657	494
Wed Dec 06 18:21:31 2023	1701915691	616	41	657	40
Wed Dec 06 18:27:11 2023	1701916031	256	401	657	401
Wed Dec 06 18:27:11 2023	1701916031	256	401	657	401
Wed Dec 06 18:27:37 2023	1701916057	263	394	658	297
Wed Dec 06 18:25:26 2023	1701915926	482	176	658	83
Wed Dec 06 18:25:26 2023	1701915926	482	176	658	82
Wed Dec 06 18:27:33 2023	1701916053	16	642	658	313
Wed Dec 06 18:25:26 2023	1701915926	482	176	658	82
Wed Dec 06 18:25:26 2023	1701915926	482	176	658	115
Wed Dec 06 18:23:49 2023	1701915829	311	347	658	245
Wed Dec 06 18:26:34 2023	1701915994	126	532	658	85
