starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 06 18:31:39 2023	1701916299	26	37	64	37
Wed Dec 06 18:31:44 2023	1701916304	14	50	64	17
Wed Dec 06 18:30:53 2023	1701916253	26	38	64	37
Wed Dec 06 18:31:11 2023	1701916271	15	49	64	10
Wed Dec 06 18:31:24 2023	1701916284	37	27	64	23
Wed Dec 06 18:31:28 2023	1701916288	43	21	64	18
Wed Dec 06 18:31:06 2023	1701916266	31	33	64	33
Wed Dec 06 18:31:18 2023	1701916278	13	51	64	51
Wed Dec 06 18:31:17 2023	1701916277	38	26	64	24
Wed Dec 06 18:30:58 2023	1701916258	38	26	64	25
Wed Dec 06 18:31:38 2023	1701916298	14	50	64	49
Wed Dec 06 18:31:06 2023	1701916266	31	33	64	13
Wed Dec 06 18:31:38 2023	1701916298	14	50	64	48
Wed Dec 06 18:31:38 2023	1701916298	15	50	64	49
Wed Dec 06 18:31:29 2023	1701916289	18	46	64	45
Wed Dec 06 18:31:44 2023	1701916304	14	50	64	50
Wed Dec 06 18:30:56 2023	1701916256	38	26	64	26
Wed Dec 06 18:31:34 2023	1701916294	16	48	64	36
Wed Dec 06 18:31:38 2023	1701916298	44	20	64	13
Wed Dec 06 18:31:13 2023	1701916273	7	57	64	14
Wed Dec 06 18:31:22 2023	1701916282	38	26	64	24
Wed Dec 06 18:30:48 2023	1701916248	28	36	64	26
Wed Dec 06 18:31:43 2023	1701916303	31	33	64	21
Wed Dec 06 18:31:39 2023	1701916299	26	38	64	36
Wed Dec 06 18:31:19 2023	1701916279	39	25	64	25
Wed Dec 06 18:30:58 2023	1701916258	39	26	64	25
Wed Dec 06 18:31:07 2023	1701916267	49	16	64	13
Wed Dec 06 18:31:16 2023	1701916276	28	36	64	29
Wed Dec 06 18:30:48 2023	1701916248	28	36	64	26
Wed Dec 06 18:31:07 2023	1701916267	49	16	64	13
Wed Dec 06 18:31:05 2023	1701916265	37	27	64	25
Wed Dec 06 18:31:05 2023	1701916265	37	27	64	24
Wed Dec 06 18:31:39 2023	1701916299	23	41	64	15
Wed Dec 06 18:31:43 2023	1701916303	31	33	64	21
Wed Dec 06 18:31:11 2023	1701916271	16	49	64	9
Wed Dec 06 18:31:22 2023	1701916282	29	35	64	25
Wed Dec 06 18:31:18 2023	1701916278	25	39	64	39
Wed Dec 06 18:31:18 2023	1701916278	25	39	64	39
Wed Dec 06 18:31:21 2023	1701916281	40	24	64	14
Wed Dec 06 18:30:48 2023	1701916248	28	36	65	36
Wed Dec 06 18:31:07 2023	1701916267	13	52	65	42
Wed Dec 06 18:31:46 2023	1701916306	27	37	65	26
Wed Dec 06 18:31:39 2023	1701916299	28	36	65	26
Wed Dec 06 18:31:09 2023	1701916269	37	28	65	24
Wed Dec 06 18:30:48 2023	1701916248	26	39	65	24
Wed Dec 06 18:31:28 2023	1701916288	19	46	65	40
Wed Dec 06 18:31:44 2023	1701916304	14	50	65	50
Wed Dec 06 18:31:17 2023	1701916277	38	27	65	23
Wed Dec 06 18:31:12 2023	1701916272	26	39	65	35
Wed Dec 06 18:30:52 2023	1701916252	27	38	65	37
